Source course,Dest course,Count
GEK20011.2,GEK10045.14,1
MEC10002.4,PCO10015.1,2
MEC10002.4,PCO10058.15,12
GEK10096.3,GEK10038.1,1
GEK10096.3,GEK10038.3,7
GEK10096.2,GEK10062.2,2
GEK10096.2,GEK10059.3,4
GEK10096.2,GEK10042.1,4
MEC10001.2,PCO10058.15,4
MEC10001.2,GEK10056.1,2
MEC10002.1,GEK40096.1,2
MEC10002.1,PCO10012.5,4
MEC10002.1,PCO10012.8,4
MEC10002.1,ISE10051.2,2
MEC10002.1,PCO20004.3,2
MEC10002.1,GEK10038.1,1
MEC10002.1,ISL10075.4,2
MEC10002.3,PCO10012.3,2
MEC10002.3,GEK10062.2,10
MEC10002.3,PCO10024.2,6
MEC10002.3,ISL10074.1,2
MEC10002.3,ISL10075.7,8
MEC10002.3,GEK20045.1,2
MEC10002.3,GEK10000.2,2
MEC10002.3,PCO10013.2,4
MEC10002.3,PCO10013.4,2
MEC10002.3,GEK10096.3,2
MEC10002.3,ISL10075.2,6
MEC10002.3,PCO10058.9,12
MEC10002.3,GEK10059.3,4
MEC10002.3,GEK10042.1,4
MEC10002.3,GEK20053.1,2
MEC10002.3,PCO10058.5,4
MEC10002.3,GEK20011.2,1
IID10004.2,CCC20072.1,1
IID10004.2,PCO10058.15,2
ISL10071.1,GEK20011.3,1
ISL10071.1,GEK10042.1,4
GEK10038.3,GEK10022.2,1
PCO10058.9,ISL10075.8,4
PCO10058.9,PCO10012.5,2
PCO10058.9,GEK20042.2,1
PCO10058.9,ISL10075.4,6
PCO10058.9,GEK40094.1,1
