year,semester,subjectCode,num,time,classroom,capacity,student_count,time_conv,course
2013,2,MEC20059,1,"M1,Th1",NMH 103A,35,14,"[1, 37]",MEC20059.1
2013,2,MEC20059,2,"M2,Th2",NMH 103A,35,33,"[2, 38]",MEC20059.2
2013,2,MEC20059,3,"M5,Th5",NMH 309,40,40,"[5, 41]",MEC20059.3
2013,2,MEC30003,1,"M3,Th3",NMH 107,45,41,"[3, 39]",MEC30003.1
2013,2,MEC30006,1,"M6,Th6",NMH 110,40,29,"[6, 42]",MEC30006.1
2013,2,MEC30008,1,"M4,Th4",NMH 107,50,42,"[4, 40]",MEC30008.1
2013,2,MEC30010,1,"M5,Th5",NMH 110,35,41,"[5, 41]",MEC30010.1
2013,2,MEC30056,1,"M4,Th4",NMH 110,40,25,"[4, 40]",MEC30056.1
2013,2,MEC30058,1,"M5,Th5",NMH 105,40,36,"[5, 41]",MEC30058.1
2013,2,MEC30066,1,"M3,Th3",NMH 110,40,14,"[3, 39]",MEC30066.1
2013,2,MEC30066,2,"M2,Th2",NMH 105,35,41,"[2, 38]",MEC30066.2
2013,2,MEC30068,1,"M5,Th5",NMH 107,40,38,"[5, 41]",MEC30068.1
2013,2,MEC30068,2,"M7,M8",NMH 103A,40,17,"[7, 8]",MEC30068.2
2013,2,MEC30069,1,"M4,Th4",NMH 410B,40,21,"[4, 40]",MEC30069.1
2013,2,MEC40002,1,"M6,Th6",NMH 107,40,53,"[6, 42]",MEC40002.1
2013,2,MEC40011,1,"M2,Th2",NMH 410B,40,30,"[2, 38]",MEC40011.1
2013,2,MEC40053,1,"M1,Th1",NMH 110,40,40,"[1, 37]",MEC40053.1
2013,2,MEC40055,1,"M2,Th2",NMH 405,35,20,"[2, 38]",MEC40055.1
2013,2,MEC40055,2,"M6,Th6",NMH 103A,35,18,"[6, 42]",MEC40055.2
2013,2,MEC40071,1,"M2,Th2",NMH 110,40,9,"[2, 38]",MEC40071.1
2013,2,MEC40079,1,"M5,Th5",NMH 103A,40,15,"[5, 41]",MEC40079.1
2013,2,LAW10004,1,"M5,Th5",ANH 302,70,69,"[5, 41]",LAW10004.1
2013,2,LAW20004,1,"Th1,Th2",NTH 311,60,23,"[37, 38]",LAW20004.1
