course,classroom
PCO20004.5,GLC 301
PCO20004.11,GLC 302
PCO20004.12,GLC 302
PCO20004.13,GLC 302
PCO20005.1,GLC 202
PCO20005.2,GLC 202
PCO20005.3,GLC 202
PCO20005.6,GLC 101
PCO20005.7,GLC 101
PCO20005.10,GLC 303
PCO20005.11,GLC 303
PCO20015.1,HDH 303A
PCO20051.1,HDH 424
PCO20051.2,HDH 424
PCO20052.2,HDH 424
PCO20053.1,OH 302
PCO20058.1,NMH 205B
PCO20058.2,NMH 205B
GEA20002.1,NTH 113
GEA20008.1,ANH 313
GEA20009.1,ANH 313
GEA20011.1,NMH 402
GEA30010.1,ANH 304
ISE10002.1,HDH 425B
ISE10022.1,HDH 320A
ISE10052.1,HDH 323C
ISE10052.2,HDH 318
ISE10052.3,HDH 318
ISE20040.1,HDH 326A
ISE20042.1,HDH 320A
ISE20075.1,OH 305
ISE20081.1,HDH 418B
ISE40073.2,HDH 320A
ISE40075.1,HDH 323C
CCC20050.1,NMH 410B
CCC20065.1,HDH 303A
CCC20074.1,NMH 402
CCC20093.1,NMH 405
CCC30074.1,NMH 405
CCC30081.1,NMH 402
GMP10001.1,NMH 104A
GMP10001.2,NMH 106
GMP20005.1,NMH 107
GMP30001.1,NMH 106
GMP30004.1,NMH 310
MEC10001.1,OH 405
MEC10002.1,NMH 106
MEC10002.3,NMH 104A
MEC20001.1,NMH 107
MEC20002.1,NMH 103A
MEC20002.2,HDH 303B
MEC20002.3,NMH 110
MEC20005.1,NMH 106
MEC20006.1,NMH 105
MEC20051.2,NMH 107
MEC20055.1,NMH 107
MEC20055.3,NMH 110
MEC20055.4,NMH 106
MEC20059.1,NMH 106
MEC30057.1,NMH 103A
MEC30066.1,NMH 405
MEC30068.2,NMH 103A
LAW20003.1,ANH 302
LAW30077.1,NTH 411
UIL30051.1,ANH 302
CSW20001.1,OH 405
CSW20002.1,NMH 207
CSW20005.1,OH 420
CSW20012.1,HDH 418B
CSW20012.2,NMH 402
CSW20015.1,HDH 318
CSW20064.1,HDH 320B
CSW20065.1,HDH 320B
CSW30017.1,NMH 207
CSW30077.1,NMH 109
CSW40016.1,HDH 320B
BFT20001.1,NMH 307
BFT20001.2,NMH 307
BFT20010.1,NMH 307
BFT30010.1,NMH 307
BFT30016.1,NMH 410B
BFT30020.1,NMH 307
ECE20010.1,NTH 313
ECE20010.2,NTH 313
ECE20016.1,ANH 313
ECE20051.1,ANH 313
ECE20051.2,ANH 313
ECE20060.1,NTH 417
ECE30011.1,OH 401
ITP20001.1,OH 401
ITP20003.1,NTH 313
ITP20003.2,NTH 313
IID10005.1,NMH 204
IID10005.2,NMH 204
IID20013.3,NMH 109
IID20016.1,NMH 208
IID20016.2,OH 306
IID20055.1,HDH 402
IID20059.1,NMH 202
IID20061.1,NMH 204
IID20061.2,NMH 204
IID30018.1,OH 305
HMM20028.3,NTH 120B
HMM20031.1,OH 405
HMM30012.1,ANH 302
CUE20002.1,OH 421
CUE20003.2,NTH 211
CUE20005.1,NTH 212
CUE20051.1,NTH 212
CUE20052.1,NTH 313
CUE30001.1,NTH 220
CUE30005.1,NTH 212
CUE30051.1,NTH 213
