year,semester,subjectCode,num_x,time,classroom,capacity,student_count,time_conv,course,random.ID,num_y
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,RFEkNbQt,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,Qb1GyOug,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,4XQfjKFR,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,sUZmeE7l,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,RojdOL23,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,g0g8R0hj,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,DbFfPRFx,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,R8laJv2I,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,JgFqTYHv,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,RacjPVvu,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,1vZD8qY1,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,NefirZAk,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,P9LlVK2B,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,5Zg9KUCA,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,6oO5W8en,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,MrwXQPef,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,dW9tzWtt,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,oEF5NJ4W,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,cVBQ8ufr,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,7qqwUeNa,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,kVwVGp6T,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,WCCj7ACN,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,CI2pYSft,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,VtSlTtmn,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,kPfMOjht,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,4HhfCYBx,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,YfONllty,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,PMPOiBaZ,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,MAjGKX8v,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,xFu3UP2C,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,rbIVSjTK,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,tAFrmCfU,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,JHHrfOAm,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,RCEDxIM0,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,ixTOgdbX,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,yDJAamPy,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,334h5fpQ,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,VP7q4lwa,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,Xrg1QX8B,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,NM80pFld,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,u4Jvejnx,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,DOtpiZoy,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,iiBqURSI,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,fi0myoTl,2
2014,1,GEK10055,2,"M3,Th3",NMH 410A,50,58,"[3, 39]",GEK10055.2,IYKDM5pu,2
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,urPGRFUH,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,1u3GEBcq,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,AkPPFoz7,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,qBXbwzxV,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,RFEkNbQt,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,yKdSm1Dt,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,fXNX2Uaw,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,f4Zq9doV,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,azGn9fGC,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,FFFGALvd,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,c1uzFHF1,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,iLsT6s4A,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,NYtn63Ze,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,FT1ARwMW,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,hMt7bh1a,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,yktOoy95,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,tEH5n3HO,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,GKoxzSJH,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,mlxahTh4,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,RkScHf1i,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,xCZoLOiT,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,GVoNq5LU,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,CR7mqn3e,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,tLvEs7rb,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,w5LefmmN,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,qKPU0bcQ,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,rbIVSjTK,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,3ZUQNPek,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,lEfMj1ym,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,JF5Sprxo,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,dxVAansw,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,TzfmMcOP,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,7iVCws8e,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,mxfB9Dur,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,UsLfFdFC,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,PFr9UpwA,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,CjfJOB46,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,9VPPg2zL,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,cGAM8Vh2,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,Nwyr1KIE,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,eYp1tllD,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,bM5RAO5o,1
2014,1,GEK10057,1,"M5,Th5",NMH 410A,30,47,"[5, 41]",GEK10057.1,56h7aTx9,1
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,YeJcKVfU,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,c8F0X3IG,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,WcWgxWeV,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,cp5Lj3ah,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,QbqsJldT,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,S6PYI8ZC,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,Y0SSfOsg,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,A2HFSKWz,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,sTJSknQo,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,hy3L6QLq,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,tI0djC7K,2
