year,semester,subjectCode,num,capacity,classroom,student_count,time,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,time_conv,course
2016,1,GEK10062,2,70,NMH 105,69,"M3,Th3",,,,,,,,,"[3, 39]",GEK10062.2
2016,1,GEK10075,1,1,NMH 108,40,Th7,,,,,,,,,[43],GEK10075.1
2016,1,GEK10087,1,60,HDH 418B,38,"Th8,Th9",,,,,,,,,"[44, 45]",GEK10087.1
2016,1,GEK10089,1,40,NMH 402,14,"Th5,Th6",,,,,,,,,"[41, 42]",GEK10089.1
2016,1,GEK10091,1,35,NTH 412,48,"M6,M7",,,,,,,,,"[6, 7]",GEK10091.1
2016,1,GEK10094,1,20,NMH 411,15,"Th8,Th9",,,,,,,,,"[44, 45]",GEK10094.1
2016,1,GEK10095,1,80,HDH 418B,77,"M5,Th5",,,,,,,,,"[5, 41]",GEK10095.1
2016,1,GEK10095,4,60,HDH 418B,43,"M4,Th4",,,,,,,,,"[4, 40]",GEK10095.4
2016,1,GEK10096,1,80,HDH 418B,79,"M2,Th2",,,,,,,,,"[2, 38]",GEK10096.1
2016,1,GEK10096,2,80,HDH 418B,78,"M3,Th3",,,,,,,,,"[3, 39]",GEK10096.2
2016,1,GEK10096,4,80,HDH 418B,53,"M6,Th6",,,,,,,,,"[6, 42]",GEK10096.4
2016,1,GEK10099,1,60,NMH 105,28,"M4,Th4",,,,,,,,,"[4, 40]",GEK10099.1
2016,1,GEK20011,1,50,OH 420,55,"M2,Th2",,,,,,,,,"[2, 38]",GEK20011.1
2016,1,GEK20011,3,60,OH 420,56,"M4,Th4",,,,,,,,,"[4, 40]",GEK20011.3
2016,1,GEK20016,1,70,NMH 404,90,"M3,Th3",,,,,,,,,"[3, 39]",GEK20016.1
2016,1,GEK20019,1,30,HDH 303B,27,"M2,Th2",,,,,,,,,"[2, 38]",GEK20019.1
2016,1,GEK20021,1,30, ,25,Th6,,,,,,,,,[42],GEK20021.1
2016,1,GEK20021,2,25,NTH 213,24,"Th7,Th8",,,,,,,,,"[43, 44]",GEK20021.2
2016,1,GEK20028,1,60,SU 101,60,"Th2,Th3",,,,,,,,,"[38, 39]",GEK20028.1
2016,1,GEK20028,2,60,SU 101,60,"Th5,Th6",,,,,,,,,"[41, 42]",GEK20028.2
2016,1,GEK20042,1,40,OH 402,56,"M2,Th2",,,,,,,,,"[2, 38]",GEK20042.1
2016,1,GEK20044,1,40,OH 305,41,"M4,M5",,,,,,,,,"[4, 5]",GEK20044.1
2016,1,GEK20053,1,50,HDH 425B,51,"M2,Th2",,,,,,,,,"[2, 38]",GEK20053.1
2016,1,GEK20053,2,50,HDH 425B,50,"M3,Th3",,,,,,,,,"[3, 39]",GEK20053.2
2016,1,GEK20058,7,65,OH 403,67,"M2,Th2",,,,,,,,,"[2, 38]",GEK20058.7
2016,1,GEK20058,8,65,OH 403,66,"M3,Th3",,,,,,,,,"[3, 39]",GEK20058.8
2016,1,GEK20058,9,65,OH 402,64,"M5,Th5",,,,,,,,,"[5, 41]",GEK20058.9
2016,1,GEK20058,10,65,NMH 404,26,"M6,Th6",,,,,,,,,"[6, 42]",GEK20058.10
2016,1,GEK20059,1,65,NMH 403,80,"M5,Th5",,,,,,,,,"[5, 41]",GEK20059.1
2016,1,GEK20062,1,75,NMH 403,80,"M6,Th6",,,,,,,,,"[6, 42]",GEK20062.1
2016,1,GEK20062,2,70,OH 403,106,"M5,Th5",,,,,,,,,"[5, 41]",GEK20062.2
2016,1,GEK20062,3,75,NMH 403,75,"M7,Th7",,,,,,,,,"[7, 43]",GEK20062.3
2016,1,GEK20063,1,65,NMH 403,44,"M4,Th4",,,,,,,,,"[4, 40]",GEK20063.1
