"random.ID","입학일자","교육과정","등록학기","학년","주야","현학적","학과명","성별","전공1","전공2","부전공","비고","공학인증여부"
"3f4ACPeb",20150301,NA,3,2,"주간","입학","법학부","여","한국법","국제지역학","","연계",""
"p6ddVGu5",20150301,NA,3,2,"주간","입학","언론정보문화학부","여","언론정보학","컴퓨터공학","","연계",""
"U3oiimMw",20150301,NA,2,1,"주간","군입대휴학","콘텐츠융합디자인학부","남","시각디자인","제품디자인","","복수",""
"07xpnJMZ",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","사회복지학","상담심리학","","복수",""
"FQuJMaRE",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","사회복지학","상담심리학","","복수",""
"A5UdzPqJ",20150301,NA,3,2,"주간","입학","공간환경시스템공학부","여","건설공학","시각디자인","","연계",""
"ud9Mo4Vw",20150301,NA,3,2,"주간","입학","경영경제학부","여","경영학","언론정보학","","연계",""
"NQhusxNQ",20150301,NA,3,2,"주간","입학","기계제어공학부","여","기계공학","전자제어공학","","복수",""
"93ndUDLm",20150301,NA,2,1,"주간","일반휴학","경영경제학부","여","경영학","컴퓨터공학","","연계",""
"d2AeZgOv",20150301,NA,2,1,"주간","군입대휴학","법학부","남","한국법","경제학","","연계",""
"isq9sKz2",20150301,NA,3,2,"주간","입학","경영경제학부","남","경영학","상담심리학","","연계",""
"4PzIIfUj",20150301,NA,3,2,"주간","입학","전산전자공학부","남","컴퓨터공학심화","","","","공학인증"
"hciSur3a",20150301,NA,3,2,"주간","입학","전산전자공학부","여","컴퓨터공학","경영학","","연계",""
"KNLMnTtQ",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(66)","","","",""
"9iHkSyud",20150301,NA,3,2,"주간","입학","경영경제학부","남","경영학","언론정보학","","연계",""
"7xidEXfc",20150301,NA,3,2,"주간","입학","국제어문학부","여","국제지역학","US and International Law","","연계",""
"fHEsaQQe",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(66)","","","",""
"ZCGMbTzJ",20150301,NA,3,2,"주간","입학","국제어문학부","여","국제지역학","시각디자인","","연계",""
"IDJ2hsSr",20150301,NA,3,2,"주간","입학","경영경제학부","여","경영학","컴퓨터공학","","연계",""
"CIBiVFTf",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","국제지역학","","연계",""
"ci7rSz4t",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"9K4XukeG",20150301,NA,3,2,"주간","입학","공간환경시스템공학부","여","도시환경공학","건설공학","","복수",""
"DXFTf2Ia",20150301,NA,2,1,"주간","복학","글로벌리더십학부","여","","","","",""
"ttYpiSrf",20150301,NA,3,2,"주간","입학","콘텐츠융합디자인학부","여","제품디자인","시각디자인","","복수",""
"kbj2OIWp",20150301,NA,3,2,"주간","입학","공간환경시스템공학부","남","도시환경공학","사회복지학","","연계",""
"EwXdSgEm",20150301,NA,3,2,"주간","입학","법학부","남","한국법","경제학","","연계",""
"UyMBVvJw",20150301,NA,3,2,"주간","입학","공간환경시스템공학부","남","건설공학","시각디자인","","연계",""
"m1zdHGU3",20150301,NA,3,2,"주간","입학","경영경제학부","여","경영학","경제학","","복수",""
"b6EQdcXd",20150301,NA,3,2,"주간","입학","경영경제학부","여","경영학","상담심리학","","연계",""
"zgOox8aw",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(33)","상담심리학","","연계",""
"k9zGdaBk",20150301,NA,3,2,"주간","입학","법학부","여","한국법","시각디자인","","연계",""
"PUCe6eZY",20150301,NA,3,2,"주간","입학","국제어문학부","여","국제지역학","영어","","복수",""
"FCppn9JS",20150301,NA,2,1,"주간","군입대휴학","법학부","남","한국법","사회복지학","","연계",""
"nPSfL7Ni",20150301,NA,3,2,"주간","입학","공간환경시스템공학부","남","도시환경공학","건설공학","","복수",""
"BusYrG8Q",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(66)","","","",""
"WubnuoGU",20150301,NA,3,2,"주간","입학","공간환경시스템공학부","여","건설공학","도시환경공학","","복수",""
"yE00db7A",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"cZkIoPRp",20150301,NA,3,2,"주간","입학","국제어문학부","여","영어","US and International Law","","연계",""
"EmqbMUjM",20150301,NA,3,2,"주간","입학","전산전자공학부","여","전자공학심화","","","","공학인증"
"3qAznQVe",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","남","상담심리학","사회복지학","","복수",""
"a2EGv30q",20150301,NA,3,2,"주간","입학","전산전자공학부","여","전자공학심화","","","","공학인증"
"4RjBZ2qN",20150301,NA,3,2,"주간","입학","언론정보문화학부","여","언론정보학","상담심리학","","연계",""
"607KjtN0",20150301,NA,3,2,"주간","입학","국제어문학부","여","영어","국제지역학","","복수",""
"LRKQ46jk",20150301,NA,2,1,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학","Global Entrepreneurship","","연계",""
"AThdoM2t",20150301,NA,3,2,"주간","입학","생명과학부","남","생명과학(33)","수학교육학","","연계",""
"IhqdsBuk",20150301,NA,3,2,"주간","입학","전산전자공학부","남","전자공학심화","","","","공학인증"
"R7FjwW1d",20150301,NA,3,2,"주간","입학","경영경제학부","남","경영학","경제학","","복수",""
"a9VTzsXk",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(33)","상담심리학","","연계",""
"FWR7SelV",20150301,NA,3,2,"주간","입학","기계제어공학부","여","기계공학","전자제어공학","","복수",""
"as6QTjq1",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"ZoOpeD7U",20150301,NA,1,1,"주간","일반휴학","글로벌리더십학부","여","","","","",""
