학번,입학일자,교육과정,등록학기,학년,주야,현학적,학과명,성별,전공1,전공2,부전공,비고,공학인증여부
21300125,20130301,140,6,3,주간,일반휴학,언론정보문화학부,여,공연영상학,언론정보학,,복수,
21300126,20130301,140,4,2,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300127,20130301,140,4,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학심화,,,,공학인증
21300128,20130301,140,6,3,주간,복학,기계제어공학부,남,전자제어공학,기계공학,,복수,
21300129,20130301,140,7,4,주간,입학,경영경제학부,남,경제학,경영학,,복수,
21300130,20130301,140,4,2,주간,복학,국제어문학부,여,국제지역학,영어,,복수,
21300131,20130301,140,6,3,주간,복학,기계제어공학부,여,기계공학,제품디자인,,연계,
21300132,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,여,시각디자인,제품디자인,,복수,
21300133,20130301,140,7,4,주간,입학,법학부,남,US and International Law,국제지역학,,연계,
21300134,20130301,140,6,3,주간,복학,언론정보문화학부,여,공연영상학,시각디자인,,연계,
21300135,20130301,140,6,3,주간,일반휴학,국제어문학부,여,영어,사회복지학,,연계,
21300136,20130301,140,6,3,주간,복학,전산전자공학부,여,전자공학,컴퓨터공학,,복수,
21300137,20130301,140,6,3,주간,복학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,
21300138,20130301,140,6,3,주간,복학,콘텐츠융합디자인학부,여,시각디자인,제품디자인,,복수,
21300139,20130301,140,7,4,주간,입학,전산전자공학부,여,컴퓨터공학,경영학,,연계,
21300140,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경영학,Global Entrepreneurship,,연계,
21300141,20130301,140,5,3,주간,일반휴학,생명과학부,여,생명과학(66),,,,
21300142,20130301,140,7,4,주간,입학,국제어문학부,여,국제지역학,경제학,,연계,
21300143,20130301,140,6,3,주간,복학,법학부,여,US and International Law,한국법,,복수,
21300144,20130301,140,6,3,주간,복학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,
21300145,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,여,시각디자인,제품디자인,,복수,
21300146,20130301,140,7,4,주간,입학,전산전자공학부,여,컴퓨터공학,경영학,,연계,
21300147,20130301,140,6,3,주간,복학,콘텐츠융합디자인학부,여,시각디자인,제품디자인,,복수,
21300148,20130301,140,7,4,주간,입학,법학부,남,US and International Law,국제지역학,,연계,
21300149,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경영학,Global Entrepreneurship,,연계,
21300150,20130301,140,3,2,주간,복학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300151,20130301,140,4,2,주간,일반휴학,콘텐츠융합디자인학부,남,제품디자인,시각디자인,,복수,
21300152,20130301,140,6,3,주간,복학,콘텐츠융합디자인학부,여,시각디자인,건설공학,,연계,
21300153,20130301,140,7,4,주간,입학,언론정보문화학부,여,공연영상학,상담심리학,,연계,
21300154,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경영학,상담심리학,,연계,
21300155,20130301,140,7,4,주간,입학,생명과학부,여,생명과학(66),,,,
21300156,20130301,140,5,3,주간,복학,콘텐츠융합디자인학부,여,제품디자인,시각디자인,,복수,
21300157,20130301,140,6,3,주간,일반휴학,콘텐츠융합디자인학부,여,제품디자인,시각디자인,,복수,
21300158,20130301,140,6,3,주간,복학,콘텐츠융합디자인학부,여,시각디자인,컴퓨터공학,,연계,
21300159,20130301,140,3,2,주간,복학,생명과학부,남,생명과학(66),,,,
21300160,20130301,140,5,3,주간,복학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,
21300161,20130301,140,6,3,주간,복학,생명과학부,여,생명과학(66),,,,
21300162,20130301,140,6,3,주간,일반휴학,국제어문학부,여,국제지역학,사회복지학,,연계,
21300163,20130301,140,4,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300164,20130301,140,7,4,주간,입학,경영경제학부,여,경영학,상담심리학,,연계,
21300165,20130301,140,4,2,주간,일반휴학,경영경제학부,남,경영학,경제학,,복수,
21300166,20130301,140,4,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300167,20130301,130,2,1,주간,군입대휴학,상담심리사회복지학부,남,상담심리학,사회복지학,,복수,
21300168,20130301,140,5,3,주간,복학,경영경제학부,남,경영학,경제학,,복수,
21300169,20130301,140,7,4,주간,입학,전산전자공학부,여,컴퓨터공학,전자공학,,복수,
21300170,20130301,140,7,4,주간,입학,전산전자공학부,남,컴퓨터공학,전자공학,,복수,
21300171,20130301,140,5,3,주간,복학,법학부,남,US and International Law,국제지역학,,연계,
21300172,20130301,140,4,2,주간,복학,경영경제학부,남,경영학,국제지역학,,연계,
21300173,20130301,140,5,3,주간,일반휴학,전산전자공학부,남,컴퓨터공학,경영학,,연계,
21300174,20130301,140,2,1,주간,군입대휴학,경영경제학부,남,경영학,경제학,,복수,
21300175,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,여,시각디자인,제품디자인,,복수,
21300176,20130301,140,6,3,주간,일반휴학,법학부,남,US and International Law,국제지역학,,연계,
21300177,20130301,140,7,4,주간,입학,상담심리사회복지학부,남,상담심리학,경영학,,연계,
21300178,20130301,140,3,2,주간,군입대휴학,경영경제학부,남,경영학,경제학,,복수,
21300179,20130301,140,4,2,주간,일반휴학,경영경제학부,여,경제학,국제지역학,,연계,
21300180,20130301,140,7,4,주간,입학,경영경제학부,여,경영학,컴퓨터공학,,연계,
21300181,20130301,140,4,2,주간,군입대휴학,국제어문학부,남,국제지역학,경영학,,연계,
21300182,20130301,140,2,1,주간,군입대휴학,경영경제학부,남,경제학,전자제어공학,,연계,
21300183,20130301,140,7,4,주간,입학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300184,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,컴퓨터공학,,연계,
21300185,20130301,140,5,3,주간,복학,국제어문학부,여,국제지역학,상담심리학,,연계,
21300186,20130301,140,3,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학심화,,,,공학인증
21300187,20130301,140,3,2,주간,군입대휴학,전산전자공학부,남,컴퓨터공학,경영학,,연계,
21300188,20130301,140,3,2,주간,일반휴학,공간환경시스템공학부,여,건설공학,도시환경공학,,복수,
21300189,20130301,140,6,3,주간,일반휴학,공간환경시스템공학부,여,도시환경공학,건설공학,,복수,
21300190,20130301,140,7,4,주간,입학,경영경제학부,여,경영학,상담심리학,,연계,
21300191,20130301,140,6,3,주간,일반휴학,언론정보문화학부,여,공연영상학,시각디자인,,연계,
21300192,20130301,140,7,4,주간,입학,전산전자공학부,여,컴퓨터공학,경영학,,연계,
21300193,20130301,140,6,3,주간,일반휴학,법학부,여,한국법,상담심리학,,연계,
21300194,20130301,140,4,2,주간,군입대휴학,법학부,남,US and International Law,한국법,,복수,
21300195,20130301,140,3,2,주간,군입대휴학,경영경제학부,남,경영학,국제지역학,,연계,
21300196,20130301,140,7,4,주간,입학,언론정보문화학부,여,언론정보학,커뮤니케이션 디자인,,연계,
21300197,20130301,140,4,2,주간,군입대휴학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300198,20130301,140,4,2,주간,일반휴학,생명과학부,남,생명과학(66),,컴퓨터공학,,
21300199,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,컴퓨터공학,,연계,
21300200,20130301,140,5,3,주간,일반휴학,경영경제학부,남,경영학,Global Entrepreneurship,,연계,
21300201,20130301,140,3,2,주간,복학,콘텐츠융합디자인학부,남,시각디자인,경영학,,연계,
21300202,20130301,140,5,3,주간,복학,경영경제학부,여,경영학,도시환경공학,,연계,
