Source course,Dest course,Count
GEK20065.4,GEK20062.1,12
GEK20065.4,GEK10020.1,10
GEK20065.4,GCS10038.3,2
GEK20065.4,GCS10053.8,6
GEK20065.4,GEK10097.1,6
GEK20065.4,GCS10007.1,6
GEK20065.4,GCS10003.3,26
CCC20094.1,GEK20060.2,4
CCC20094.1,GCS10014.1,1
CCC20094.1,GCS10007.4,2
MEC20058.1,GEK10041.2,2
GEK10021.2,GCS10003.4,1
ITP30003.1,GEK20060.2,2
ITP30003.1,GCS10037.2,2
ITP30003.1,GEK10096.2,2
ITP30003.1,ECE20018.1,34
MEC30066.1,MEC30010.1,1
MEC30066.1,GEK20028.2,1
MEC30066.1,MEC20059.3,2
MEC30066.1,MEC20006.1,6
MEC30066.1,MEC20054.2,4
MEC30066.1,GEK30014.1,4
MEC30066.1,GEK10022.1,2
GEK20060.1,GCS10052.2,2
GEK20060.1,GCS10061.1,2
GEK20060.1,GCS10004.3,2
GEK20060.1,GEK10099.1,4
GEK20060.1,GCS20002.6,2
GEK20060.1,GCS10014.1,3
GEK20060.1,GEK10096.2,2
GEK20060.1,GEK10053.1,4
GEK20060.2,GEK20053.1,2
GEK20060.2,GEK10095.2,10
GEK20060.2,GCS10004.4,4
GEK20060.2,GCS10058.3,4
GEK20060.2,GEK20028.2,1
GEK20060.2,GCS10033.4,4
GEK20060.2,GCS10053.7,6
GEK20060.2,GEK10057.1,2
GEK20060.2,GCS10003.6,8
GEK20060.2,GEK10022.1,2
GCS10040.2,GCS10007.4,2
ECE20018.1,MEC10001.1,2
ECE20018.1,MEC20055.2,2
ECE20018.1,GEK30022.1,1
ECE20018.1,GCS10004.4,2
ECE20018.1,MEC30066.2,2
ECE20018.1,GEA30022.1,1
ECE20018.1,GCS10033.4,2
ECE20018.1,GEK10082.1,2
ECE20018.1,GEK30014.1,2
ECE20018.1,GCS10053.7,2
GEK10041.1,GEK10040.1,3
GEK10041.1,GCS10037.2,8
GEK10041.1,GCS10061.1,2
GEK10041.1,GCS10042.1,1
GEK10041.1,GCS10004.3,2
GEK10041.1,GCS10053.2,2
GEK10041.1,GCS10003.5,10
GEK10041.1,GCS10007.4,6
GEK10041.1,GCS10052.2,2
ISE20084.1,GCS10004.4,4
ISE20084.1,GEK10089.1,1
ISE20084.1,GEK20028.2,1
ISE20084.1,GCS20006.1,2
ISE20084.1,GCS10003.6,2
ISE20084.1,GEK30014.1,2
ISE20084.1,GEK10022.1,2
LAW20010.1,GEK20060.2,2
LAW20010.1,GCS10052.2,2
LAW20010.1,GCS20001.6,2
GCS20002.6,ENG20021.1,2
ECE20063.1,GEK20062.1,2
ECE20063.1,GEK10097.1,10
IID20057.1,GEK20062.3,5
LAW30033.1,MEC40002.1,1
LAW30033.1,GEK30014.3,2
GEK10062.1,GEK10041.1,14
GEK10062.1,GEK10035.1,2
GEK10062.1,GCS10004.2,2
