Source course,Dest course,Count
UIL30014.1,ISE20074.1,4
ECE20010.2,GCS20002.14,2
ECE20010.2,BFT20002.1,2
ECE20010.2,GEK20028.3,2
ECE20010.2,MEC10002.2,2
ECE20010.2,GCS10053.2,2
ECE20010.2,BFT30057.1,2
HMM10041.2,GCS10053.2,2
HMM10041.2,LAW20003.1,2
HMM10041.2,GCS10053.6,2
HMM10041.2,BFT20002.1,2
LAW30072.1,GCS20001.12,2
GCS10062.2,GCS10001.2,2
ISE30032.1,ISE30015.1,4
ISE30032.1,ISE20074.1,2
GCS10062.1,GCS10002.6,2
GCS10062.1,GCS10001.1,4
ECE30030.1,ECE30021.2,14
ECE30030.1,ENG20022.1,2
ECE30030.1,GEK10098.2,1
GCS10062.7,GCS10037.12,2
GCS10062.7,GCS10033.2,2
CUE40053.1,CUE20013.1,14
CUE40053.1,CUE30003.1,4
CUE40053.1,ITP20007.2,2
CUE40053.1,GEA20053.1,2
CUE40053.1,GCS20006.2,2
CUE40053.1,GCS10039.2,2
CUE40053.1,GEK10061.2,2
HMM30032.1,GCS10053.4,2
MEC20054.2,GEA20004.1,1
MEC20054.2,CCC20064.1,2
MEC20054.2,GEK20028.3,2
GCS10062.8,GCS10001.3,2
GCS10062.8,GCS10033.3,2
MEC20054.1,GEK30030.1,2
MEC20054.1,GCS20002.13,2
MEC20054.1,GEK10061.2,2
LAW20009.1,MEC10001.3,4
LAW20009.1,GEK30030.1,2
LAW20009.1,GEK10093.1,2
LAW20009.1,LAW20008.1,62
LAW20009.1,GCS20006.2,4
LAW20009.1,GCS10039.2,4
ISE20072.1,GEK30015.2,3
ISE20072.1,GCS10007.4,1
GEA20051.1,GCS20006.1,4
GEA20051.1,GEK10030.1,6
GEA20051.1,GCS10002.6,2
GEA20051.1,GCS10037.7,2
CCC20064.1,ISE20085.1,1
CCC20064.1,GCS20009.1,2
CCC20064.1,GCS10053.9,2
CCC20064.1,GEK10090.2,2
CCC20064.1,GCS10039.1,2
CUE40052.1,GEE20034.1,2
CUE40052.1,GCS20006.1,2
CUE40052.1,CUE20051.1,2
CSW20012.1,MEC10001.3,2
CSW20012.1,ISE30015.1,2
CSW20012.1,GCS20002.10,2
CSW20012.1,LAW20008.1,2
CSW20012.1,GEA20053.1,2
CSW20012.1,MEC20054.2,2
CSW20012.1,GCS20006.2,4
CSW20012.1,MEC20058.2,2
GEA20057.1,GEK20017.1,2
GEK20033.1,GCS20001.2,2
GEK20033.1,GEK10095.2,4
GEK20033.1,GEK10090.1,2
GEK20033.1,GEK10070.1,6
GEK20033.1,GCS10037.12,2
GEK20033.1,GCS10062.3,2
GEK20033.1,GCS10033.2,2
GEK20033.1,GCS10062.9,2
