year,semester,subjectCode,num,capacity,classroom,student_count,time,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,time_conv,course
2016,1,GEK10030,1,120,OH 405,138,"T2,F2",,,,,,,,,"[14, 50]",GEK10030.1
2016,1,GEK10041,4,50,OH 420,14,"T2,T3",,,,,,,,,"[14, 15]",GEK10041.4
2016,1,GEK10055,1,60,HDH 418B,57,"T1,F1",,,,,,,,,"[13, 49]",GEK10055.1
2016,1,GEK10055,2,60,HDH 418B,73,"T2,F2",,,,,,,,,"[14, 50]",GEK10055.2
2016,1,GEK10058,1,0,NMH 410A,54,"T6,F6",,,,,,,,,"[18, 54]",GEK10058.1
2016,1,GEK10059,1,60,NMH 410A,60,"T2,F2",,,,,,,,,"[14, 50]",GEK10059.1
2016,1,GEK10061,1,45,HCA 2類,45,"T2,F2",,,,,,,,,"[14, 50]",GEK10061.1
2016,1,GEK10061,2,45,HCA 2類,46,"T3,F3",,,,,,,,,"[15, 51]",GEK10061.2
2016,1,GEK10066,1,80,NTH 313,75,"T2,F2",,,,,,,,,"[14, 50]",GEK10066.1
2016,1,GEK10070,1,60,NMH 410A,60,"T3,F3",,,,,,,,,"[15, 51]",GEK10070.1
2016,1,GEK10077,1,30,NTH 213,30,"T6,T7",,,,,,,,,"[18, 19]",GEK10077.1
2016,1,GEK10088,1,60,NMH 404,58,"T4,T5",,,,,,,,,"[16, 17]",GEK10088.1
2016,1,GEK10088,2,60,NMH 404,61,"T6,T7",,,,,,,,,"[18, 19]",GEK10088.2
2016,1,GEK10089,2,40,NMH 402,17,"F5,F6",,,,,,,,,"[53, 54]",GEK10089.2
2016,1,GEK10090,1,60,HDH 418B,63,"T3,F3",,,,,,,,,"[15, 51]",GEK10090.1
2016,1,GEK10090,2,60,HDH 425B,64,"T5,F5",,,,,,,,,"[17, 53]",GEK10090.2
2016,1,GEK10093,1,40,HDH 425B,37,"T3,F3",,,,,,,,,"[15, 51]",GEK10093.1
2016,1,GEK10095,2,80,HDH 318,77,"T3,F3",,,,,,,,,"[15, 51]",GEK10095.2
2016,1,GEK10095,3,80,HDH 418B,60,"T6,F6",,,,,,,,,"[18, 54]",GEK10095.3
2016,1,GEK10096,3,60,OH 403,78,"T5,F5",,,,,,,,,"[17, 53]",GEK10096.3
2016,1,GEK10098,1,45,HCA 2類,46,"T5,F5",,,,,,,,,"[17, 53]",GEK10098.1
2016,1,GEK10098,2,40,HCA 2類,59,"T6,T7",,,,,,,,,"[18, 19]",GEK10098.2
2016,1,GEK20017,1,60,OH 420,24,"T5,F5",,,,,,,,,"[17, 53]",GEK20017.1
2016,1,GEK20028,3,40,NMH 402,40,"T4,T5",,,,,,,,,"[16, 17]",GEK20028.3
2016,1,GEK20028,4,50,OH 艙鼻薑爾褒,52,"T2,T3",,,,,,,,,"[14, 15]",GEK20028.4
2016,1,GEK20033,1,60,HDH 425B,50,"T2,F2",,,,,,,,,"[14, 50]",GEK20033.1
2016,1,GEK20042,2,50,OH 402,50,"T7,F7",,,,,,,,,"[19, 55]",GEK20042.2
2016,1,GEK20058,1,65,OH 403,66,"T1,F1",,,,,,,,,"[13, 49]",GEK20058.1
2016,1,GEK20058,2,65,OH 403,90,"T2,F2",,,,,,,,,"[14, 50]",GEK20058.2
2016,1,GEK20058,3,65,OH 403,80,"T3,F3",,,,,,,,,"[15, 51]",GEK20058.3
2016,1,GEK20058,4,65,NMH 403,70,"T2,F2",,,,,,,,,"[14, 50]",GEK20058.4
2016,1,GEK20058,5,65,NMH 403,68,"T3,F3",,,,,,,,,"[15, 51]",GEK20058.5
2016,1,GEK20058,6,65,NMH 403,65,"T4,F4",,,,,,,,,"[16, 52]",GEK20058.6
2016,1,GEK20063,3,65,NMH 404,64,"T2,F2",,,,,,,,,"[14, 50]",GEK20063.3
2016,1,GEK20063,4,65,NMH 404,34,"T3,F3",,,,,,,,,"[15, 51]",GEK20063.4
2016,1,GEK30015,2,150,OH 405,103,T6,,,,,,,,,[18],GEK30015.2
2016,1,GEK30030,1,80,OH 402,87,"T3,F3",,,,,,,,,"[15, 51]",GEK30030.1
2016,1,PST10001,1,5, ,0,"T5,Th5",,,,,,,,,"[17, 41]",PST10001.1
2016,1,PST10008,1,5, ,,"T5,Th5",,,,,,,,,"[17, 41]",PST10008.1
2016,1,PST10021,1,5, ,,"T3,Th3",,,,,,,,,"[15, 39]",PST10021.1
2016,1,PST10027,1,5, ,,"T5,Th5",,,,,,,,,"[17, 41]",PST10027.1
2016,1,PST10029,1,5, ,,"T2,Th2",,,,,,,,,"[14, 38]",PST10029.1
2016,1,PST10030,1,10, ,,"T3,Th3",,,,,,,,,"[15, 39]",PST10030.1
2016,1,PST10036,1,15, ,,"T5,Th5",,,,,,,,,"[17, 41]",PST10036.1
2016,1,PST10037,1,15, ,,"T4,Th4",,,,,,,,,"[16, 40]",PST10037.1
2016,1,PST10039,1,15, ,0,"T4,Th4",,,,,,,,,"[16, 40]",PST10039.1
2016,1,PST10040,3,10, ,0,"M3,T3",,,,,,,,,"[3, 15]",PST10040.3
2016,1,PST10080,1,5, ,,"T3,Th3",,,,,,,,,"[15, 39]",PST10080.1
2016,1,PST10093,1,5, ,,"T5,Th5",,,,,,,,,"[17, 41]",PST10093.1
2016,1,PST10094,1,20, ,,"T3,Th3",,,,,,,,,"[15, 39]",PST10094.1
2016,1,PST10095,1,15, ,,"T2,Th2",,,,,,,,,"[14, 38]",PST10095.1
2016,1,PST10107,1,10, ,0,"T6,Th6",,,,,,,,,"[18, 42]",PST10107.1
2016,1,PST10109,1,10, ,,"T2,Th2",,,,,,,,,"[14, 38]",PST10109.1
2016,1,PST10110,1,5, ,,"T6,Th6",,,,,,,,,"[18, 42]",PST10110.1
2016,1,PST10112,1,5, ,,"T3,Th3",,,,,,,,,"[15, 39]",PST10112.1
2016,1,PST10113,1,20, ,0,"T3,Th3",,,,,,,,,"[15, 39]",PST10113.1
2016,1,CCE20001,1,30,NMH 108,8,"T6,T7",,,,,,,,,"[18, 19]",CCE20001.1
2016,1,CCE20007,1,50,NMH 105,13,"T7,T8",,,,,,,,,"[19, 20]",CCE20007.1
2016,1,CCE22001,1,35,HDH 323C,33,"T6,F6",,,,,,,,,"[18, 54]",CCE22001.1
2016,1,CCE30001,1,30,NMH 105,9,"T3,F3",,,,,,,,,"[15, 51]",CCE30001.1
2016,1,CCE30003,1,40,NMH 108,2,"T6,T7",,,,,,,,,"[18, 19]",CCE30003.1
2016,1,CCE30006,1,50,NMH 105,10,"T2,F2",,,,,,,,,"[14, 50]",CCE30006.1
2016,1,CCE32001,1,35,NTH 213,22,"T4,T5",,,,,,,,,"[16, 17]",CCE32001.1
2016,1,CCE42001,1,20,HDH 320A,3,"T4,F4",,,,,,,,,"[16, 52]",CCE42001.1
2016,1,GEA20004,1,40,NMH 410B,18,"F4,F5",,,,,,,,,"[52, 53]",GEA20004.1
2016,1,GEA20016,1,40,OH 306,10,"T2,F2",,,,,,,,,"[14, 50]",GEA20016.1
2016,1,GEA20018,1,40,ANH 313,11,"F6,F7",,,,,,,,,"[54, 55]",GEA20018.1
2016,1,GEA20051,1,40,ANH 313,24,"T1,F1",,,,,,,,,"[13, 49]",GEA20051.1
2016,1,GEA20053,1,40,NTH 310,10,"T3,F3",,,,,,,,,"[15, 51]",GEA20053.1
2016,1,GEA20057,1,40,NMH 107,23,"T4,F4",,,,,,,,,"[16, 52]",GEA20057.1
2016,1,GEA30021,1,40,NTH 113,13,"T4,T5",,,,,,,,,"[16, 17]",GEA30021.1
2016,1,GEA40004,1,30,ANH 304,8,"T6,T7",,,,,,,,,"[18, 19]",GEA40004.1
2016,1,ISE10022,1,40,OH 306,27,"F5,F6",,,,,,,,,"[53, 54]",ISE10022.1
2016,1,ISE20043,1,40,HDH 323C,37,"T2,F2",,,,,,,,,"[14, 50]",ISE20043.1
2016,1,ISE20072,1,40,HDH 324,36,"T4,T5",,,,,,,,,"[16, 17]",ISE20072.1
2016,1,ISE20074,1,40,HDH 323C,43,"T3,F3",,,,,,,,,"[15, 51]",ISE20074.1
2016,1,ISE20081,1,40,NMH 309,40,"F4,F5",,,,,,,,,"[52, 53]",ISE20081.1
2016,1,ISE20085,1,80,HDH 318,50,"T5,T6",,,,,,,,,"[17, 18]",ISE20085.1
2016,1,ISE20086,1,40,HDH 326A,31,"T2,F2",,,,,,,,,"[14, 50]",ISE20086.1
2016,1,ISE30015,1,40,HDH 324,40,"T3,F3",,,,,,,,,"[15, 51]",ISE30015.1
2016,1,ISE30032,1,25,HDH 324,22,"T2,F2",,,,,,,,,"[14, 50]",ISE30032.1
2016,1,ISE30080,1,40,HDH 323C,16,"T5,F5",,,,,,,,,"[17, 53]",ISE30080.1
2016,1,ISE30093,1,40,NMH 309,9,"F2,F3",,,,,,,,,"[50, 51]",ISE30093.1
2016,1,ISE30097,1,40,HDH 323C,30,"T4,F4",,,,,,,,,"[16, 52]",ISE30097.1
2016,1,ISE40073,1,40,HDH 326A,13,"T6,T7",,,,,,,,,"[18, 19]",ISE40073.1
2016,1,ISE40075,1,40,HDH 324,31,"F4,F5",,,,,,,,,"[52, 53]",ISE40075.1
2016,1,ISE40085,4,0,HDH 326A,13,"T4,T5",,,,,,,,,"[16, 17]",ISE40085.4
2016,1,CCC20053,1,40,NMH 405,42,"T2,F2",,,,,,,,,"[14, 50]",CCC20053.1
2016,1,CCC20064,1,40,NMH 405,46,"T4,F4",,,,,,,,,"[16, 52]",CCC20064.1
2016,1,CCC20086,1,30,HDH 320A,34,"T2,F2",,,,,,,,,"[14, 50]",CCC20086.1
2016,1,CCC30035,1,20,NMH 410B,20,"T2,F2",,,,,,,,,"[14, 50]",CCC30035.1
2016,1,CCC30053,1,25,NMH 405,25,"T6,F6",,,,,,,,,"[18, 54]",CCC30053.1
2016,1,CCC30057,1,30,NMH 405,25,"T8,T9",,,,,,,,,"[20, 21]",CCC30057.1
2016,1,CCC30083,1,25,NMH 406,12,"T6,T7",,,,,,,,,"[18, 19]",CCC30083.1
2016,1,CCC30094,1,25,NMH 406,29,"T4,T5",,,,,,,,,"[16, 17]",CCC30094.1
2016,1,CCC40044,1,20,NMH 410B,9,"T5,T6",,,,,,,,,"[17, 18]",CCC40044.1
2016,1,CCC40050,1,20,NMH 405,11,"T3,F3",,,,,,,,,"[15, 51]",CCC40050.1
2016,1,MEC10001,2,80,NMH 106,28,"T2,F2",,,,,,,,,"[14, 50]",MEC10001.2
2016,1,MEC10001,3,80,NMH 107,66,"T3,F3",,,,,,,,,"[15, 51]",MEC10001.3
2016,1,MEC10002,2,80,NMH 105,75,"T4,F4",,,,,,,,,"[16, 52]",MEC10002.2
2016,1,MEC20002,2,40,NMH 103A,43,"T2,F2",,,,,,,,,"[14, 50]",MEC20002.2
2016,1,MEC20005,1,40,NMH 107,68,"T1,F1",,,,,,,,,"[13, 49]",MEC20005.1
2016,1,MEC20054,1,40,NMH 108,37,"T2,F2",,,,,,,,,"[14, 50]",MEC20054.1
2016,1,MEC20054,2,40,NMH 106,46,"T3,F3",,,,,,,,,"[15, 51]",MEC20054.2
2016,1,MEC20055,4,40,NMH 106,23,"T4,F4",,,,,,,,,"[16, 52]",MEC20055.4
