course,classroom
GCS30009.1,GLC 101
GEE20034.1,OH 402
GEK10021.1, 
GEK10021.4,HDH 418B
GEK10021.5, 
GEK10021.7,SU 101
GEK10030.1,OH 405
GEK10041.4,OH 420
GEK10055.1,HDH 418B
GEK10055.2,HDH 418B
GEK10058.1,NMH 410A
GEK10059.1,NMH 410A
GEK10061.1,HCA 2類
GEK10061.2,HCA 2類
GEK10066.1,NTH 313
GEK10070.1,NMH 410A
GEK10077.1,NTH 213
GEK10088.1,NMH 404
GEK10088.2,NMH 404
GEK10089.2,NMH 402
GEK10090.1,HDH 418B
GEK10090.2,HDH 425B
GEK10093.1,HDH 425B
GEK10095.2,HDH 318
GEK10095.3,HDH 418B
GEK10096.3,OH 403
GEK10098.1,HCA 2類
GEK10098.2,HCA 2類
GEK20017.1,OH 420
GEK20028.3,NMH 402
GEK20028.4,OH 艙鼻薑爾褒
GEK20033.1,HDH 425B
GEK20042.2,OH 402
GEK20058.1,OH 403
GEK20058.2,OH 403
GEK20058.3,OH 403
GEK20058.4,NMH 403
GEK20058.5,NMH 403
GEK20058.6,NMH 403
GEK20063.3,NMH 404
GEK20063.4,NMH 404
GEK30015.2,OH 405
GEK30030.1,OH 402
CCE20001.1,NMH 108
CCE20007.1,NMH 105
CCE22001.1,HDH 323C
CCE30001.1,NMH 105
CCE30006.1,NMH 105
CCE32001.1,NTH 213
GEA20004.1,NMH 410B
GEA20016.1,OH 306
GEA20018.1,ANH 313
GEA20051.1,ANH 313
GEA20053.1,NTH 310
GEA20057.1,NMH 107
GEA30021.1,NTH 113
GEA40004.1,ANH 304
ISE10022.1,OH 306
ISE20043.1,HDH 323C
ISE20072.1,HDH 324
ISE20074.1,HDH 323C
ISE20081.1,NMH 309
ISE20085.1,HDH 318
ISE20086.1,HDH 326A
ISE30015.1,HDH 324
ISE30032.1,HDH 324
ISE30080.1,HDH 323C
ISE30093.1,NMH 309
ISE30097.1,HDH 323C
ISE40073.1,HDH 326A
ISE40075.1,HDH 324
ISE40085.4,HDH 326A
CCC20053.1,NMH 405
CCC20064.1,NMH 405
CCC20086.1,HDH 320A
CCC30035.1,NMH 410B
CCC30053.1,NMH 405
CCC30057.1,NMH 405
CCC30083.1,NMH 406
CCC30094.1,NMH 406
CCC40044.1,NMH 410B
CCC40050.1,NMH 405
MEC10001.2,NMH 106
MEC10001.3,NMH 107
MEC10002.2,NMH 105
MEC20002.2,NMH 103A
MEC20005.1,NMH 107
MEC20054.1,NMH 108
MEC20054.2,NMH 106
MEC20055.4,NMH 106
MEC20057.2,NMH 102B
MEC20057.3,NMH 102B
MEC20058.2,NMH 103A
MEC20059.3,NMH 106
MEC30002.1,NMH 105
MEC30003.1,NMH 106
MEC30010.1,NMH 103A
MEC30053.1,NMH 307
MEC30068.2,NMH 109
MEC30072.1,NMH 107
MEC30074.1,NMH 103A
MEC40010.1,NMH 310
LAW20003.1,ANH 302
LAW20008.1,ANH 302
LAW20009.1,OH 305
LAW30009.1,ANH 304
LAW30014.1,ANH 304
LAW30071.1,ANH 305
LAW30072.1,ANH 305
UIL30014.1,ANH 305
UIL30015.1,ANH 304
UIL30051.1,ANH 305
UIL40015.1,ANH 302
UIL40016.1,ANH 304
UIL40064.1,ANH 302
CSW20012.1,NMH 207
CSW20012.2,NMH 207
CSW20015.1,OH 402
CSW20021.1,HDH 318
CSW20054.1,OH 405
CSW20064.1,HDH 320B
CSW20079.1,OH 402
CSW20085.1,HDH 403
CSW30008.1,HDH 320B
CSW30009.3,NMH 207
CSW30012.1,NMH 207
CSW30019.1,NMH 107
CSW30021.1,HDH 320B
CSW30026.2,NMH 207
CSW30056.1,HDH 318
CSW40010.1,OH 305
BFT20002.1,OH 405
BFT30001.1,NMH 307
BFT30010.2,NMH 307
BFT30016.1,NMH 307
BFT30057.1,NMH 310
BFT30061.1,ANH 313
BFT40005.2,NMH 410A
BFT40013.1,NMH 310
BFT40052.1,NMH 307
BFT40055.1,NMH 310
ECE20010.2,OH 401
ECE20051.3,ANH 313
ECE20060.1,NTH 417
ECE30021.1,NTH 313
ECE30021.2,NTH 311
ECE30030.1,ANH 313
ECE30051.1,NTH 310
ECE30063.1,NTH 311
ECE30092.1,NTH 310
ECE40012.1,NTH 311
ECE40047.1,NTH 414
ECE40061.1,NTH 310
ECE40093.1,NTH 412
ECE40093.2,NTH 313
ECE40093.3,NTH 213
ITP20003.1,OH 401
ITP20003.2,OH 401
ITP20007.1,NTH 311
ITP20007.2,NTH 313
ITP30008.1,OH 401
ITP40001.1,NTH 313
HMM10041.2,OH 305
HMM20026.1,OH 405
HMM20028.1,NTH 120B
HMM20028.3,NTH 120B
HMM30006.1,NTH 118
HMM30032.1,ANH 302
HMM30055.1,NTH 118
HMM40029.1,NTH 214
HMM40037.1,NTH 214
HMM40039.1,NTH 214
HMM40047.1,NTH 214
CUE20003.1,NTH 212
CUE20003.2,NTH 212
CUE20005.1,NTH 313
CUE20013.1,ANH 313
CUE20051.1,NTH 212
CUE30001.2,NTH 220
CUE30003.1,NTH 212
CUE40052.1,NTH 212
CUE40053.1,NTH 218
IID10004.3,NMH 204
IID20006.2,NMH 202
IID20006.3,NMH 202
IID20013.2,NMH 204
IID20013.3,NMH 204
IID20016.1,NMH 208
IID20055.1,HDH 402
IID20055.2,HDH 402
IID20059.1,NMH 208
IID20059.2,NMH 208
IID20059.3,NMH 208
IID30011.1,NMH 205B
IID30020.1,NMH 309
IID30067.1,HDH 402
IID30068.1,OH 306
IID30068.2,OH 306
IID30080.1,NMH 205B
IID30082.1,NMH 205B
IID30086.1,NMH 202
IID30086.2,NMH 202
IID30086.3,NMH 202
IID40070.1,NMH 208
IID40071.1,NMH 309
IID40071.2,NMH 204
