course,classroom
GMP10001.1,NMH 103A
GMP10001.2,NMH 105
GMP20004.1,NMH 109
GMP20005.1,NMH 105
GMP30001.1,NMH 105
GMP30002.1,NMH 106
GMP30004.1,NMH 103A
GMP30007.1,NMH 107
GMP40012.1,NMH 106
MEC10001.1,NMH 106
MEC10002.1,NMH 103A
MEC10002.2,NMH 105
MEC10002.4,OH 405
MEC10002.5,OH 305
MEC20001.1,NMH 105
MEC20001.2,NMH 410B
MEC20002.1,OH 306
MEC20002.2,NMH 309
MEC20005.1,NMH 106
MEC20006.1,NMH 106
MEC20051.1,NMH 109
MEC20051.2,NMH 110
MEC20054.1,NMH 107
MEC20055.1,NMH 107
MEC20055.2,NMH 107
MEC20055.3,NMH 309
MEC20057.1,NMH 102B
MEC20058.1,NMH 106
MEC20058.2,NTH 313
MEC20059.2,NMH 105
MEC30005.1,NMH 107
MEC30006.1,OH 306
MEC30057.1,NMH 309
MEC30058.1,NMH 106
MEC30066.1,NMH 107
MEC30068.2,NMH 103A
MEC30074.2,NMH 110
MEC30075.1,NMH 103A
MEC40055.1,NMH 103A
MEC40079.1,NMH 207
LAW10004.1,ANH 302
LAW20003.1,ANH 302
LAW20009.1,OH 405
LAW30034.1,ANH 305
LAW30077.1,NTH 214
LAW50005.1,ANH 304
UIL20013.1,NTH 214
UIL30011.1,ANH 302
UIL30016.1,ANH 305
UIL30017.1,NTH 214
UIL30051.1,ANH 302
UIL40016.1,ANH 304
UIL40064.1,ANH 304
CSW20005.1,HDH 323C
CSW20005.2,OH 405
CSW20015.1,HDH 320B
CSW20062.1,HDH 318
CSW20064.1,NMH 207
CSW20065.1,NMH 207
CSW30009.1,OH 421
CSW30009.2,NMH 109
CSW30009.3,NMH 109
CSW30017.1,HDH 323C
CSW30056.1,HDH 318
CSW30077.1,NMH 402
CSW40010.2,HDH 320B
CSW40016.1,HDH 320A
BFT20001.1,NMH 307
BFT20001.2,NMH 307
BFT20010.1,NMH 307
BFT30010.1,NMH 307
BFT30020.1,NMH 307
BFT30027.1,NMH 307
BFT30055.1,NMH 410B
BFT40012.1,NMH 310
ECE10020.1,NTH 412
ECE20010.1,OH 405
ECE20016.1,NTH 313
ECE20016.2,NTH 313
ECE20051.2,NTH 311
ECE20057.1,NTH 313
ECE20060.2,NTH 417
ECE30011.1,OH 401
ECE30012.1,OH 402
ECE30021.1,OH 401
ECE30021.2,OH 401
ECE30056.1,NTH 417
ECE30075.1,NTH 413
ECE30075.2,NTH 413
ECE30081.1,ANH 313
ITP20007.1,OH 305
ITP20007.2,OH 305
ITP30002.1,OH 401
ITP30005.1,OH 401
ITP40003.1,NTH 311
IID10004.1,NMH 204
IID10004.2,NMH 204
IID20006.1,NMH 202
IID20013.1,NMH 310
IID20016.1,NMH 202
IID20016.2,NMH 208
IID20016.3,NMH 202
IID20016.4,NMH 208
IID20055.1,HDH 402
IID20061.1,NMH 204
IID20061.2,NMH 204
IID20061.3,NMH 204
IID30018.1,OH 306
IID30071.1,NMH 208
IID30071.2,NMH 108
IID30080.1, 
IID30082.1,NMH 104A
HMM20017.1,OH 305
HMM20026.1,OH 305
HMM20031.1,OH 405
HMM30012.1,ANH 302
HMM30018.1,NTH 120B
HMM30032.1,OH 305
HMM30055.1,NTH 118
HMM40029.1,ANH 305
HMM40043.1,ANH 305
CUE20002.1,NTH 212
CUE20003.2,NTH 215
CUE20052.1,NTH 313
CUE30001.1,NTH 220
CUE30005.1,NTH 212
CUE30030.1,NTH 218
CUE30031.1,NTH 212
CUE30051.1,NTH 212
CUE40003.2,NTH 211
